orgao_sup;setor;chave;id;cargo;funcao;nivel;instr;area;inst_ensino;inst_origem;car_pub;partido;cargo_ele;lid_part;exp_adm;exp_car;exp_mer;exp_soc;UF*;partido_pr;partido_ministro;indicacao;entrada;saida;perm
minc;secdc;Cult-SCC-S1;VSCA;Secretário da Cidadania Cultural;DAS;6;NA;arte;NA;NA;SVE;NA;0;0;1;5;1;1;DF;PT;PV;Lula;12/04/2010;05/05/2011;12,9
minc;secdc;Cult-SCC-DAC1;OGRJ;Diretor de Acesso à Cultura;DAS;5;especializacao;administracao;UFPA;publica;EPPGG;NA;0;0;1;3;1;NA;DF;PT;PV;Lula;20/04/2010;05/05/2011;12,7
minc;secdc;Cult-SCC-CGMAR1;JNPE;Coordenador-Geral de de Mobilização e Articulação em Rede;DAS;4;mestrado;arte;UERJ;publica;OUTRO;PCdoB;0;0;1;3;1;1;DF;PT;PV;Lula;08/06/2009;08/07/2011;25,3
minc;secdc;Cult-SCC-CGGPC1;ECBR; Coordenador-Geral de Gestão de Pontos de Cultura;DAS;4;NA;NA;NA;NA;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;PV;Lula;13/07/2009;11/03/2011;20,2
minc;secdc;Cult-SCC-CGCC1;ESTO;Coordenador-Geral de Cultura e Cidadania;DAS;4;superior;historia;PUC;privada;SVE;PT;0;0;1;0;0;1;NA;PT;PV;Lula;13/07/2009;05/04/2011;21
minc;secdc;Cult-SCC-S2;MPPO;Secretário da Cidadania Cultural;DAS;6;especializacao;comunicacao;NA;NA;SVE;PT;0;0;1;5;1;NA;MG;PT;NA;Rousseff;05/05/2011;14/09/2011;4,4
minc;secdc;Cult-SCC-S3;MHGR;Secretário da Cidadania Cultural;DAS;6;especializacao;arte e servico social;UnB;publica;SVE;NA;0;0;1;5;0;NA;DF;PT;NA;Rousseff;04/10/2011;11/06/2012;8,4
minc;secdc;Cult-SCC-DAC2;RAMS;Diretor de Acesso à Cultura;DAS;5;NA;NA;NA;NA;NA;NA;0;0;1;5;NA;NA;RJ;PT;NA;Rousseff;05/05/2011;21/11/2011;6,7
minc;secdc;Cult-SCC-DAC3;IMCA;Diretor de Acesso à Cultura;DAS;5;mestrado;historia;PUC;privada;SVE;NA;0;0;1;3;1;NA;;PT;NA;Rousseff;22/11/2011;11/06/2012;6,7
minc;secdc;Cult-SCC-CGMAR2;AMTP;Coordenador-Geral de de Mobilização e Articulação em Rede;DAS;4;superior;direito;UniCEUB;privada;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;NA;Rousseff;14/09/2011;21/06/2012;9,4
minc;secdc;Cult-SCC-CGGPC2;GCOL; Coordenador-Geral de Gestão de Pontos de Cultura;DAS;4;superior;sociologia;NA;NA;SVE;NA;0;0;0;0;1;1;MG;PT;NA;Rousseff;18/03/2011;22/09/2011;6,3
minc;secdc;Cult-SCC-CGGPC3;MGMM; Coordenador-Geral de Gestão de Pontos de Cultura;DAS;4;superior;direito;UniCEUB;privada;SE_INT;NA;0;0;1;3;NA;NA;DF;PT;NA;Rousseff;17/11/2011;02/07/2012;7,6
minc;secdc;Cult-SCC-CGCC2;CCPR;Coordenador-Geral de Cultura e Cidadania;DAS;4;especializacao;arte;UNICAMP;publica;SVE;NA;0;0;0;0;1;1;SP;PT;NA;Rousseff;05/04/2011;21/09/2011;5,6
minc;secdc;Cult-SCC-CGCC3;PDMJ;Coordenador-Geral de Cultura e Cidadania;DAS;4;tecnico;arte;NA;NA;SVE;NA;0;0;1;5;1;NA;CE;PT;NA;Rousseff;24/10/2011;03/07/2012;8,4
minc;secdc;Cult-SID-S1;ACJT;Secretário da Identidade e da Diversidade Cultural;DAS;6;superior;computacao;Mackenzie;privada;SVE;PT;0;0;1;3;1;NA;DF;PT;NA;Lula;05/12/2008;24/06/2011;31
minc;secdc;Cult-SID-DMPDI1;RABL;Diretor de Monitoramento de Políticas da Diversidade e Identidade;DAS;5;NA;NA;NA;NA;SVE;PT;NA;NA;1;3;NA;1;DF;PT;NA;Rousseff;14/07/2009;13/04/2011;21,3
minc;secdc;Cult-SID-CGFIDE1;PDMJ;Coordenador-Geral de Fomento à Identidade e Diversidade Étnica;DAS;4;tecnico;arte;NA;NA;SVE;NA;0;0;1;5;1;NA;DF;PT;NA;Rousseff;17/06/2010;30/03/2011;9,5
minc;secdc;Cult-SID-CGFIDE2;LLGU;Coordenador-Geral de Fomento à Identidade e Diversidade Étnica;DAS;4;mestrado;administracao;UFCE;publica;SVE;NA;0;0;1;1;1;NA;CE;PT;NA;Lula;30/03/2011;05/10/2011;6,3
minc;secdc;Cult-SID-CGPDDIC1;JCMG;Coordenador-Geral de Promoção da Diversidade, Difusão e Intercâmbio Cultural ;DAS;4;NA;NA;NA;NA;SVE;NA;0;0;1;3;NA;NA;NA;PT;NA;Lula;23/06/2009;18/02/2011;20,2
minc;secdc;Cult-SID-S2;CSLE;Secretário da Identidade e da Diversidade Cultural;DAS;6;doutorado;direito;UFCE;publica;SVE;NA;0;0;1;5;0;1;CE;PT;NA;Rousseff;06/06/2011;11/06/2012;12,4
